ID,age,gender,year,house,usregion,englishspk,languages,psycharea,studyhours,workouthours,tvhours,avgworkhours,wakeup,drinks,friends,partner,travelUS,travelcountry,yankredsox,phone,reading,dailyactivities_1,dailyactivities_2,dailyactivities_3,dailyactivities_4,dailyactivities_5,dailyactivities_6,dailyactivities_7,dailyactivities_8,dailyactivities_9,dailyactivities_10,dailyactivities_11,dailyactivities_12,dailyactivities_13,dailyactivities_14,dailyactivities_15,dailyactivities_16,dailyactivities_17,dailyactivities_18,dailyactivities_19,dailyactivities_20,dailyactivities_21,dailyactivities_22,superstitionYN_1,superstitionYN_2,superstitionYN_3,superstitionYN_4,superstitionLik_1,superstitionLik_2
1,20,Female,Junior,Cabot,East,Yes,3,Clinical,10,0,0.5,12,8-10 am,0,3,Yes,6,2,Yankees,iPhone,Poetry,3,1,3,0,4,1,3,3,3,0,4,3,0,0,2,1,2,3,3,2,1,3,No,No,No,No,0,0
2,19,Female,Sophomore,Leverett,South,Yes,2,Developmental,15,0,0,10,5-7 am,0,3,No,30,12,I don't care,iPhone,Fiction,3,1,2,0,3,0,3,3,3,0,3,4,0,0,1,4,0,4,1,3,0,4,No,No,No,No,0,0
3,20,Female,Sophomore,Mather,East,Yes,3,Cognitive,25,7,3,20,8-10 am,3,10,Yes,18,12,I don't care,iPhone,Non-fiction,2,4,1,0,3,3,4,4,4,2,4,4,0,0,1,4,4,4,1,2,3,4,No,Yes,No,No,0,0
4,20,Female,Junior,Dunster,West,Yes,1,Cognitive,10,10,5,15,5-7 am,5,15,No,23,8,Red Sox,iPhone,Fiction,1,0,0,2,2,1,4,2,4,4,0,1,0,0,3,0,3,1,0,3,2,4,No,Yes,No,No,0,0
5,19,Female,Sophomore,Leverett,Midwest,No,3,Social,15,0,0,25,8-10 am,0,5,No,35,3,Red Sox,iPhone,Fiction,4,0,3,1,3,1,1,0,2,4,1,1,0,0,2,2,2,2,3,1,2,3,No,No,No,No,0,0
6,22,Female,Other,Other,Not from the US,No,3,Clinical,5,5,1.5,10,5-7 am,2,7,No,10,14,Red Sox,iPhone,Non-fiction,0,3,1,1,3,1,3,3,3,2,2,1,2,0,4,0,2,2,1,3,2,2,No,No,No,No,0,0
7,21,Male,Senior,Winthrop,East,Yes,1,Cognitive,15,3.5,0,20,8-10 am,20,30,No,15,6,Yankees,iPhone,Fiction,2,0,0,1,2,1,4,3,4,4,2,3,0,0,2,1,0,2,2,2,3,4,No,No,No,No,0,0
8,20,Female,Junior,Eliot,East,Yes,2,Clinical,20,7,2,20,5-7 am,3,3,No,15,3,Red Sox,iPhone,Non-fiction,2,1,0,0,3,3,2,0,1,0,4,4,0,0,1,3,3,3,1,3,1,2,Yes,No,Yes,No,2,2
9,19,Female,Sophomore,Winthrop,West,Yes,2,Social,5,1,0,20,8-10 am,0,4,No,,,I don't care,iPhone,Fiction,4,0,3,3,1,3,2,1,3,3,3,3,0,0,3,3,4,2,4,1,4,3,No,No,No,No,0,0
10,21,Male,Junior,Adams,East,Yes,3,Social,5,2,2,15,5-7 am,7,2,No,15,2,Red Sox,iPhone,Fiction,0,4,0,2,1,1,0,0,0,0,4,2,0,0,0,3,2,1,1,1,1,3,No,Yes,No,No,0,0
11,20,Female,Sophomore,Winthrop,West,Yes,1,Developmental,32,3.5,0,40,5-7 am,5,8,No,12,5,Red Sox,iPhone,Non-fiction,1,1,0,0,4,1,4,3,3,2,4,4,0,0,2,2,2,3,4,4,0,4,Yes,Yes,No,No,3,3
12,19,Female,Sophomore,Winthrop,South,Yes,1,Social,17,3,3,15,8-10 am,6,10,No,49,9,Yankees,iPhone,Fiction,2,1,1,1,3,2,3,2,2,3,3,2,2,2,2,1,3,2,1,2,2,2,No,No,No,No,1,1
13,20,Female,Junior,Mather,Midwest,Yes,2,Social,8,12,6,20,5-7 am,6,3,Yes,10,7,I don't care,iPhone,News,3,1,1,1,2,1,1,3,3,2,3,4,1,1,1,3,2,2,1,3,1,4,No,No,Yes,No,3,1
14,19,Female,Sophomore,Dudley,Not from the US,No,2,Social,30,3,0,30,5-7 am,0,4,Kind of sort of,5,0,I don't care,iPhone,Fiction,0,4,0,1,3,1,2,2,1,1,4,4,4,0,1,3,2,2,1,2,0,4,Yes,No,No,No,1,3
15,20,Female,Junior,Kirkland,East,Yes,2,Social,25,4,3,30,8-10 am,2,10,No,15,10,I don't care,iPhone,Fiction,2,1,2,2,3,2,3,4,4,2,4,1,0,0,3,3,3,3,1,3,3,3,No,No,No,No,0,0
16,19,Female,Sophomore,Quincy,East,Yes,1,Developmental,15,5,3,18,8-10 am,6,20,Yes,13,1,Yankees,iPhone,Non-fiction,1,1,0,0,3,1,3,3,2,4,2,3,0,0,2,1,0,2,1,4,1,4,No,No,No,No,0,0
17,19,Female,Sophomore,Currier,East,Yes,1,Cognitive,12,7,3,12,5-7 am,2,6,No,20,2,Yankees,iPhone,Fiction,3,0,2,1,3,2,3,3,3,2,2,1,0,0,1,2,2,3,1,3,2,4,Yes,No,Yes,No,4,2
18,19,Female,Sophomore,Quincy,South,Yes,2,Clinical,18,7,3,15,5-7 am,0,4,No,6,5,I don't care,iPhone,Celebrity gossip,2,0,2,0,3,0,3,2,4,3,2,2,1,0,2,1,1,1,4,1,0,4,No,No,Yes,Yes,0,0
19,19,Male,Sophomore,Leverett,East,No,4,Developmental,15,20,6,15,5-7 am,5,10,Kind of sort of,6,6,Red Sox,iPhone,Fiction,2,3,2,0,4,3,4,3,4,2,2,2,0,0,3,2,2,4,0,3,2,4,No,No,No,No,0,0
20,19,Female,Sophomore,Eliot,South,Yes,2,Cognitive,20,1,0,20,8-10 am,0,10,Yes,13,26,Red Sox,iPhone,Fiction,3,1,3,1,2,2,3,2,3,3,2,1,3,2,2,2,1,3,3,2,1,3,Yes,No,No,No,2,2
21,19,Female,Sophomore,Cabot,West,Yes,2,Social,3,3,0,5,8-10 am,10,4,No,13,4,I don't care,Android,Fiction,2,1,3,1,1,1,3,3,3,2,3,1,0,0,2,2,3,1,0,1,1,1,No,No,No,No,0,0
22,19,Female,Sophomore,Quincy,Not from the US,No,3,Social,30,12,4,32,8-10 am,0,10,No,8,20,Red Sox,iPhone,Fiction,3,1,4,1,3,2,3,4,4,3,0,0,0,0,3,1,0,3,3,2,2,4,Yes,No,No,Yes,0,0
23,19,Female,Sophomore,Winthrop,East,Yes,1,Social,15,5,2,15,8-10 am,10,10,No,14,4,Yankees,iPhone,Fiction,3,2,1,1,3,3,4,3,3,4,2,1,0,0,3,1,1,3,1,3,3,4,No,Yes,No,No,0,0
24,19,Female,Sophomore,Dunster,East,No,3,Developmental,21,2,1,20,8-10 am,0,8,No,12,1,Yankees,iPhone,Fiction,3,3,3,2,2,2,4,4,4,3,3,2,4,4,3,2,3,2,2,2,2,2,Yes,Yes,No,No,2,2
25,19,Male,Sophomore,Quincy,East,Yes,2,Developmental,15,20,1,25,8-10 am,3,10,Kind of sort of,18,10,Red Sox,iPhone,News,3,1,1,1,2,2,3,2,3,4,2,1,0,0,4,0,1,1,1,2,2,2,No,Yes,Yes,Yes,1,0
26,19,Female,Sophomore,Quincy,West,Yes,2,Social,25,10,0,20,8-10 am,0,5,No,15,5,Red Sox,iPhone,Fiction,3,1,2,0,3,1,3,2,2,1,3,1,1,1,1,1,1,2,1,3,1,3,Yes,No,Yes,Yes,2,2
27,22,Female,Junior,Leverett,South,No,3,Developmental,40,5,5,35,8-10 am,2,3,Yes,,,,iPhone,Fiction,3,0,1,1,2,1,3,3,3,2,4,4,0,0,1,3,4,0,3,1,1,1,No,Yes,No,No,0,1
28,20,Male,Junior,Leverett,South,Yes,2,Cognitive,22,5,2,28,8-10 am,6,12,Yes,18,4,Red Sox,iPhone,Non-fiction,0,3,0,2,2,1,4,2,2,3,4,4,2,0,2,1,3,3,1,3,2,2,No,Yes,No,No,0,0
29,19,Female,Sophomore,Leverett,Midwest,Yes,1,Clinical,25,5,0,20,8-10 am,1,11,No,23,21,I don't care,iPhone,Non-fiction,4,0,1,0,3,0,3,3,3,2,1,1,0,0,2,3,1,3,2,2,1,4,No,No,No,No,0,0
30,20,Female,Junior,Mather,Midwest,No,2,Social,15,1,2,20,8-10 am,0,3,No,16,0,Red Sox,Android,Non-fiction,3,0,2,0,3,0,2,2,2,0,3,4,2,1,0,4,1,3,1,1,1,2,Yes,No,No,No,4,4
31,18,Female,Freshman,I'm not in a house yet,East,Yes,2,Social,20,0,2,25,8-10 am,0,6,No,7,0,I don't care,iPhone,Poetry,2,2,3,4,2,1,1,3,3,3,3,1,4,1,3,1,3,1,4,2,1,2,No,No,No,No,0,0
32,19,Male,Sophomore,Eliot,West,Yes,2,Social,10,1,0,15,8-10 am,0,1,No,6,4,I don't care,iPhone,News,4,0,2,2,2,2,0,1,2,1,4,4,1,1,1,3,1,3,3,2,3,4,No,No,No,No,0,0
33,19,Female,Sophomore,Cabot,South,No,2,Social,7,3,3,10,8-10 am,5,10,Kind of sort of,6,11,I don't care,iPhone,Fiction,0,4,1,3,4,3,3,3,3,3,3,2,3,2,3,2,1,3,2,2,3,1,Yes,No,Yes,No,1,0
34,20,Female,Junior,Eliot,Midwest,No,3,Cognitive,15,4,2,15,8-10 am,4,10,No,35,18,Red Sox,iPhone,Fiction,2,1,3,1,3,1,3,3,3,2,3,2,0,0,2,2,2,2,1,3,1,3,No,Yes,No,No,0,1
35,19,Male,Sophomore,Currier,South,Yes,2,Social,15,15,4,20,8-10 am,6,7,No,17,6,Red Sox,iPhone,Fiction,2,1,0,1,2,2,2,3,4,3,2,1,1,1,3,2,3,2,2,3,1,3,Yes,No,Yes,No,2,1
36,19,Female,Sophomore,Cabot,West,Yes,1,Clinical,21,4,8,20,8-10 am,0,7,No,10,4,Red Sox,iPhone,Fiction,3,1,3,1,3,1,2,2,2,2,2,2,2,0,2,2,3,3,0,3,2,2,Yes,No,No,No,0,0
37,19,Female,Sophomore,Quincy,Not from the US,No,3,Other,25,5,6,30,8-10 am,6,4,No,10,7,I don't care,iPhone,Fiction,2,1,1,1,2,1,1,2,1,3,2,1,0,0,3,0,1,1,0,1,1,3,No,Yes,No,No,0,0
38,19,Female,Sophomore,Currier,East,Yes,2,Cognitive,16,5.5,4,20,8-10 am,6,3,Yes,17,10,Red Sox,iPhone,News,1,2,1,0,4,0,4,4,4,3,4,4,0,0,2,3,2,3,3,4,2,4,No,No,No,No,0,0
39,19,Female,Sophomore,Currier,East,No,2,Developmental,5,1,3,10,8-10 am,3,7,Kind of sort of,6,1,I don't care,iPhone,Fiction,2,3,2,4,2,3,2,1,2,1,3,4,0,0,2,2,3,2,2,3,2,3,Yes,No,No,No,2,2
40,20,Female,Junior,Eliot,Midwest,Yes,4,Developmental,25,12,0,10,8-10 am,0,15,No,12,16,I don't care,iPhone,Fiction,3,1,1,2,3,0,4,4,3,2,2,3,3,3,2,2,4,3,1,3,1,3,No,Yes,No,Yes,0,0
41,21,Male,Senior,Winthrop,West,Yes,2,Social,2,0,0,16,10 am - noon,0,3,No,10,3,I don't care,iPhone,Fiction,0,4,0,1,3,0,2,1,2,1,4,3,0,0,1,4,1,3,2,3,1,3,No,No,No,No,0,0
42,21,Male,Senior,PfoHo,South,No,2,Social,10,5,5,10,5-7 am,0,7,Yes,16,10,Red Sox,iPhone,Non-fiction,1,3,0,1,3,2,3,3,3,2,3,2,0,0,1,1,3,1,1,3,2,3,No,No,No,No,0,0
